ClosePort 179429484
close 179430000
closed 179430000
IntStart open 179430328
open 179430328
RX ackd 179430453
RX out 179430781
RX ackd 179430843
RX out 179430843
RX ackd 179430921
RX out 179430937
RX ackd 179431046
RX out 179431046
RX ackd 179432406
RX out 179432406
RX ackd 179433718
RX out 179433734
RX ackd 179434921
RX out 179434968
RX ackd 179436265
RX out 179436281
RX ackd 179437562
RX out 179437640
RX ackd 179438968
RX out 179438968
RX ackd 179440171
RX out 179440218
ClosePort 180068640
close 180069156
closed 180069156
IntStart open 180069468
open 180069484
RX ackd 180069703
RX out 180070062
RX ackd 180070062
RX out 180070093
RX ackd 180070187
RX out 180070187
RX ackd 180070296
RX out 180070312
RX ackd 180071562
RX out 180071562
RX ackd 180072812
RX out 180072812
RX ackd 180074125
RX out 180074125
RX ackd 180074843
RX out 180074890
RX ackd 180074890
RX out 180074906
RX ackd 180075015
RX out 180075015
RX ackd 180075125
RX out 180075125
RX ackd 180075234
RX out 180075250
RX ackd 180075437
RX out 180075437
RX ackd 180075578
RX out 180075578
RX ackd 180075687
RX out 180075703
RX ackd 180075796
RX out 180075812
RX ackd 180076453
RX out 180076500
RX ackd 180076578
RX out 180076578
RX ackd 180076890
RX out 180076921
RX ackd 180077015
RX out 180077015
RX ackd 180077671
RX out 180077718
RX ackd 180077781
RX out 180077781
RX ackd 180078250
RX out 180078265
RX ackd 180078359
RX out 180078375
RX ackd 180079031
RX out 180079031
RX ackd 180079140
RX out 180079156
RX ackd 180079515
RX out 180079515
RX ackd 180079578
RX out 180079609
RX ackd 180080265
RX out 180080265
RX ackd 180080359
RX out 180080359
RX ackd 180080812
RX out 180080812
RX ackd 180080906
RX out 180080921
RX ackd 180081562
RX out 180081625
RX ackd 180081640
RX out 180081781
RX ackd 180081859
RX out 180081890
RX ackd 180081953
RX out 180081968
RX ackd 180082468
RX out 180082515
RX ackd 180082515
RX out 180082625
RX ackd 180082656
RX out 180082718
RX ackd 180082765
RX out 180082843
RX ackd 180082875
RX out 180082937
RX ackd 180082968
RX out 180082968
RX ackd 180083078
RX out 180083093
RX ackd 180083187
RX out 180083187
RX ackd 180083843
RX out 180083859
RX ackd 180084390
RX out 180084421
RX ackd 180084500
RX out 180084515
RX ackd 180085171
RX out 180085171
RX ackd 180085640
RX out 180085656
RX ackd 180085750
RX out 180085765
RX ackd 180086421
RX out 180086437
RX ackd 180086875
RX out 180086890
RX ackd 180086984
RX out 180087000
ClosePort 180147656
close 180148171
closed 180148171
IntStart open 180148484
open 180148500
RX ackd 180148609
RX out 180148968
RX ackd 180148968
RX out 180149000
RX ackd 180149078
RX out 180149109
RX ackd 180149234
RX out 180149234
RX ackd 180149625
RX out 180149625
RX ackd 180149750
RX out 180149765
RX ackd 180149859
RX out 180149875
RX ackd 180149968
RX out 180149984
RX ackd 180150093
RX out 180150093
RX ackd 180150328
RX out 180150328
RX ackd 180150437
RX out 180150437
RX ackd 180150546
RX out 180150562
RX ackd 180150640
RX out 180150656
RX ackd 180151312
